,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,"Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018","Month Summary:Nov, 2018"
1,,,Black Vulture,Turkey Vulture,Osprey,Bald Eagle,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,American Goshawk,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,Golden Eagle,American Kestrel,Merlin,Peregrine Falcon,Unknown Accipiter,Unknown Buteo,Unknown Falcon,Unknown Eagle,Unknown Raptor,
2,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
3,2018-11-01,0,,,,,,,,,,,,,,,,,,,,,,0
4,2018-11-02,0,,,,,,,,,,,,,,,,,,,,,,0
5,2018-11-03,4,,17,,,1,,,,,,6,,,,,,,,,,,24
6,2018-11-04,0,,,,,,,,,,,,,,,,,,,,,,0
7,2018-11-06,3,,,,,,,,,,,,,,,,,,,,,,0
8,2018-11-08,3,,,,,1,,,,,,2,,,,,,,,,,,3
9,2018-11-09,0,,,,,,,,,,,,,,,,,,,,,,0
10,2018-11-10,3,,,,,,,2,,,,2,,,,1,,,,,,,5
11,2018-11-11,4,,,,,,1,1,,2,,3,,2,,,,,,,,,9
12,2018-11-12,3,,,,,,,,,,,,,,,1,,,,,,,1
13,2018-11-13,5,,,,,,,,,,,36,3,,,,,,,,,,39
14,2018-11-14,5,,1,,1,1,1,,,4,,22,,,,,,,,,,,30
15,2018-11-17,3,,,,,,,,,,,1,,,,,,,,,,,1
16,2018-11-18,5,,,,,,,,,1,,,,,,,,,,,,,1
17,2018-11-19,4,,,,,,,,,,,,,,,,,,,,,,0
18,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
19,2018-11-20,5,,,,,,,,,1,,12,,,,,,,,,,,13
20,2018-11-21,2,,,,1,1,,,,1,,7,,,,,,,,,,,10
21,2018-11-22,2,,,,,,,,,,,,,,,,,,,,,,0
22,2018-11-23,3,,,,,,,,,,,,,,,,,,,,,,0
23,2018-11-24,0,,,,,,,,,,,,,,,,,,,,,,0
24,2018-11-25,3,,,,,,,,,,,,,,,,,,,,,,0
25,2018-11-27,2,,,,,,,,,,,2,,,,,,,,,,,2
26,2018-11-28,3,,,,,,,,,,,,,,,,,1,,,,1,2
27,2018-11-29,3,,,,,,,,,,,,,,,,,,,,,,0
28,2018-11-30,0,,,,,,,,,,,,,,,,,,,,,,0
29,Total: Nov 2018,65 hours,0,18,0,2,4,2,3,0,9,0,93,3,2,0,2,0,1,0,0,0,1,140
30,Total: Fall 2018,329 hours,0,2939,30,60,51,819,57,2,73,289,583,9,12,142,15,29,6,20,0,4,4,5144
